Prediction
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Sad
Sad
Sad
Happy
Happy
Happy
Happy
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Happy
Happy
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Happy
Happy
Happy
Happy
Happy
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Happy
Happy
Happy
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Sad
Sad
Happy
Happy
Happy
Sad
Sad
Happy
Happy
Sad
Sad
Sad
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Sad
Sad
Sad
Sad
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Happy
Happy
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Sad
Sad
Neutral
Neutral
Neutral
Neutral
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Happy
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
Neutral
